problem1a
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
  272        6365    7.615977e-01     1.369e-08     4.035e-02     4.516e-04     4.747e-03  
  273        6376    7.615977e-01     1.597e-08     5.765e-02     5.555e-04     5.361e-03  
  274        6387    7.615977e-01     1.672e-08     5.765e-02     4.685e-04     5.893e-03  
  275        6397    7.615977e-01     1.828e-08     8.235e-02     5.753e-04     6.570e-03  
  276        6406    7.615977e-01     2.064e-08     1.176e-01     6.789e-04     7.392e-03  
  277        6414    7.615977e-01     2.318e-08     1.681e-01     7.677e-04     8.344e-03  
  278        6421    7.615977e-01     2.434e-08     2.401e-01     8.233e-04     9.379e-03  
  279        6427    7.615977e-01     2.194e-08     3.430e-01     8.221e-04     1.040e-02  
  280        6431    7.615977e-01     1.750e-08     7.000e-01     1.046e-03     1.167e-02  
  281        6434    7.615977e-01     8.927e-10     1.000e+00     5.125e-04     1.211e-02  
  282        6437    7.615977e-01     7.242e-11     1.000e+00     2.907e-04     1.204e-02  
  283        6440    7.615977e-01     6.884e-10     1.000e+00     1.050e-03     1.179e-02  
  284        6444    7.615977e-01     1.526e-09     7.000e-01     1.068e-03     1.154e-02  
  285        6451    7.615977e-01     2.099e-09     2.401e-01     7.490e-04     1.137e-02  
  286        6459    7.615976e-01     3.314e-09     1.681e-01     8.949e-04     1.117e-02  
  287        6467    7.615976e-01     5.518e-09     1.681e-01     1.197e-03     1.091e-02  
  288        6475    7.615976e-01     6.746e-09     1.681e-01     1.447e-03     1.059e-02  
  289        6482    7.615976e-01     9.952e-09     2.401e-01     2.421e-03     1.006e-02  
  290        6491    7.615976e-01     1.408e-08     1.176e-01     1.290e-03     9.777e-03  
  291        6502    7.615976e-01     1.588e-08     5.765e-02     8.578e-04     9.590e-03  
  292        6514    7.615976e-01     1.838e-08     4.035e-02     8.163e-04     9.412e-03  
  293        6527    7.615976e-01     2.104e-08     2.825e-02     7.476e-04     9.249e-03  
  294        6542    7.615976e-01     2.184e-08     1.384e-02     4.747e-04     9.146e-03  
  295        6558    7.615976e-01     2.266e-08     9.689e-03     4.281e-04     9.053e-03  
  296        6573    7.615976e-01     1.639e-08     9.689e-03     5.361e-04     8.937e-03  
  297        6597    7.615976e-01     1.647e-08     3.910e-04     2.597e-05     8.931e-03  
  298        6622    7.615976e-01     1.654e-08     2.737e-04     2.313e-05     8.926e-03  
  299        6647    7.615976e-01     1.663e-08     2.737e-04     2.581e-05     8.921e-03  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  300        6672    7.615976e-01     1.673e-08     2.737e-04     2.830e-05     8.914e-03  
  301        6697    7.615976e-01     1.685e-08     2.737e-04     3.066e-05     8.908e-03  
  302        6723    7.615976e-01     1.692e-08     1.916e-04     2.302e-05     8.903e-03  
