problem2
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  242     801    1.204785e-01    2.038e-06    2.890e-04    5.655e-03
  243     802    1.204785e-01    1.514e-05    2.433e-04    1.756e-02
  244     803    1.204785e-01    5.867e-06    5.359e-04    1.055e-02
  245     804    1.204785e-01    4.462e-06    2.860e-04    9.164e-03
  246     805    1.204785e-01    3.312e-06    1.973e-04    7.625e-03
  247     806    1.204785e-01    2.555e-06    7.156e-05    6.373e-03
  248     807    1.204785e-01    3.664e-06    1.711e-04    7.238e-03
  249     808    1.204785e-01    2.253e-06    6.842e-04    5.051e-03
  250     809    1.204785e-01    8.306e-06    8.780e-04    8.711e-03
  251     810    1.204785e-01    2.144e-07    1.306e-03    3.363e-03
  252     811    1.204785e-01    5.942e-06    1.770e-03    7.147e-03
  253     812    1.204785e-01    3.073e-06    2.311e-03    8.816e-03
  254     813    1.204785e-01    6.242e-06    3.789e-04    1.172e-02
  255     814    1.204785e-01    1.712e-06    1.142e-03    7.481e-03
  256     815    1.204785e-01    1.404e-06    1.457e-04    6.932e-03
  257     816    1.204785e-01    3.298e-07    3.620e-04    3.305e-03
  258     817    1.204785e-01    4.506e-08    2.406e-04    1.232e-03
  259     818    1.204785e-01    4.958e-08    1.555e-04    8.810e-04
  260     819    1.204785e-01    3.252e-07    4.318e-05    1.794e-03
  261     820    1.204785e-01    1.107e-06    2.467e-04    3.704e-03
  262     821    1.204785e-01    4.136e-06    5.230e-04    8.107e-03
  263     822    1.204785e-01    1.794e-06    6.916e-04    6.155e-03
  264     823    1.204785e-01    2.090e-06    8.031e-04    8.256e-03
  265     824    1.204785e-01    1.907e-07    5.548e-04    1.837e-03
  266     825    1.204785e-01    3.228e-07    2.094e-04    2.209e-03
  267     826    1.204785e-01    1.259e-06    2.005e-04    3.813e-03
  268     827    1.204785e-01    9.111e-07    4.812e-04    3.318e-03
  269     828    1.204785e-01    1.768e-06    9.622e-05    4.570e-03
  270     829    1.204785e-01    8.181e-07    7.939e-04    2.936e-03

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  271     830    1.204785e-01    1.106e-06    4.334e-04    4.489e-03
  272     831    1.204785e-01    6.885e-07    2.884e-04    3.100e-03
  273     832    1.204785e-01    1.105e-06    3.106e-04    4.128e-03
  274     833    1.204785e-01    1.282e-06    2.669e-04    4.247e-03
  275     834    1.204785e-01    4.725e-07    3.309e-04    2.539e-03
  276     835    1.204785e-01    4.792e-07    6.584e-05    2.546e-03
  277     836    1.204784e-01    4.444e-07    2.871e-04    2.380e-03
  278     837    1.204784e-01    3.532e-07    1.269e-04    2.144e-03
  279     839    1.204784e-01    3.013e-07    3.255e-04    2.006e-03
  280     841    1.204784e-01    1.475e-07    1.838e-04    2.263e-03
  281     844    1.204784e-01    7.882e-08    1.219e-04    1.528e-03
  282     848    1.204784e-01    8.937e-08    5.768e-05    6.908e-04
  283     853    1.204784e-01    9.685e-08    1.334e-04    5.461e-04
  284     858    1.204784e-01    1.056e-07    1.555e-04    5.756e-04
  285     863    1.204784e-01    1.124e-07    6.768e-05    5.609e-04
  286     868    1.204784e-01    1.178e-07    6.759e-05    5.492e-04
  287     873    1.204784e-01    1.217e-07    1.113e-04    5.344e-04
  288     878    1.204784e-01    1.243e-07    2.234e-05    5.191e-04
  289     883    1.204784e-01    1.258e-07    8.521e-05    5.031e-04
  290     888    1.204784e-01    1.260e-07    8.193e-05    4.868e-04
  291     893    1.204784e-01    1.253e-07    1.869e-05    4.703e-04
